symbol,name,currency,exchange,mic_code,country,type,figi_code
ACLX,"Arcellx, Inc.",USD,NASDAQ,XNGS,United States,Common Stock,BBG014L7WW14
ACMR,ACM Research Inc,USD,NASDAQ,XNMS,United States,Common Stock,BBG00HPSG9G9
ACNB,ACNB Corp,USD,NASDAQ,XNCM,United States,Common Stock,BBG000BJ2TV5
ACNT,Ascent Industries Co.,USD,NASDAQ,XNMS,United States,Common Stock,BBG000CLRM29
ACON,"Aclarion, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG014FBN4Z7
ACONW,"Aclarion, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG016Z2HSN7
ACQRW,Independence Holdings Corp.,USD,NASDAQ,XNMS,United States,Common Stock,
ACRS,Aclaris Therapeutics Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG009T0QMM7
ACRV,"Acrivon Therapeutics, Inc.",USD,NASDAQ,XNMS,United States,Common Stock,BBG01BD8L6L2
ACRX,AcelRx Pharmaceuticals Inc,USD,NASDAQ,XNMS,United States,Common Stock,
ACST,Acasti Pharma Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG001NMDY40
ACTG,Acacia Research Corp,USD,NASDAQ,XNGS,United States,Common Stock,BBG000KF9X01
ACTU,"Actuate Therapeutics, Inc.",USD,NASDAQ,XNMS,United States,Common Stock,BBG01NG4X915
ACVA,ACV Auctions Inc.,USD,NASDAQ,XNGS,United States,Common Stock,BBG00ZGYN380
ACXP,"Acurx Pharmaceuticals, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG01184FGP0
ADAG,Adagene Inc.,USD,NASDAQ,XNMS,United States,Common Stock,BBG00YZ6BYQ8
ADAP,Adaptimmune Therapeutics Plc,USD,NASDAQ,XNGS,United States,Depositary Receipt,BBG008G664R7
ADBE,Adobe Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BB5BP5
ADD,Color Star Technology Co. Ltd.,USD,NASDAQ,XNCM,United States,Common Stock,BBG00MYN3F33
ADEA,Adeia Inc.,USD,NASDAQ,XNGS,United States,Common Stock,BBG00RC6DKS4
ADEAV,Xperi Holding Corporation,USD,NASDAQ,XNGS,United States,Common Stock,
ADES,ADES International Holding PLC,USD,NASDAQ,XNMS,United States,Common Stock,
ADGI,"Adagio Therapeutics, Inc.",USD,NASDAQ,XNMS,United States,Common Stock,
ADGM,"Adagio Medical Holdings, Inc Common Stock",USD,NASDAQ,XNCM,United States,Common Stock,BBG01P206F37
ADI,Analog Devices Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BB6RX0
ADIL,Adial Pharmaceuticals Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG00HNGDV35
ADMA,ADMA Biologics Inc,USD,NASDAQ,XNMS,United States,Common Stock,BBG002Z1LMV8
ADN,"Advent Technologies Holdings, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG00MDV8XG0
ADNWW,"Advent Technologies Holdings, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG00MVVPDN7
ADOC,Edoc Acquisition Corp.,USD,NASDAQ,XNCM,United States,Common Stock,
ADP,Automatic Data Processing Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000JG1MT2
ADPT,Adaptive Biotechnologies Corp,USD,NASDAQ,XNGS,United States,Common Stock,BBG00PBGPJ25
ADSE,ADS-TEC Energy PLC,USD,NASDAQ,XNCM,United States,Common Stock,BBG0147PP3N8
ADSEW,ADS-TEC Energy PLC,USD,NASDAQ,XNMS,United States,Common Stock,
ADSK,Autodesk Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BM7TD3
ADTHW,"AdTheorent Holding Company, Inc.",USD,NASDAQ,XNMS,United States,Common Stock,
ADTN,ADTRAN Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG016R0PMV5
ADTX,Aditx Therapeutics Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG00VJHMX79
ADUS,Addus HomeCare Corp,USD,NASDAQ,XNGS,United States,Common Stock,BBG000NJKB87
ADV,Advantage Solutions Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG00Q6C7F99
ADVM,Adverum Biotechnologies Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG006R62FS7
ADVWW,Advantage Solutions Inc.,USD,NASDAQ,XNGS,United States,Common Stock,BBG00Q6CTN07
ADXN,Addex Therapeutics Ltd,USD,NASDAQ,XNCM,United States,Depositary Receipt,BBG00R48STN9
ADXS,Advaxis Inc,USD,NASDAQ,XNCM,United States,Common Stock,
AEAE,AltEnergy Acquisition Corp.,USD,NASDAQ,XNCM,United States,Common Stock,BBG0136JW4W5
AEAEU,AltEnergy Acquisition Corp.,USD,NASDAQ,XNCM,United States,Unit,BBG0122Q7CM6
AEAEW,AltEnergy Acquisition Corp.,USD,NASDAQ,XNMS,United States,Common Stock,BBG0123Q8YP3
AEHL,Antelope Enterprise Holdings Limited,USD,NASDAQ,XNCM,United States,Common Stock,BBG000TXJ781
AEHR,Aehr Test Systems,USD,NASDAQ,XNCM,United States,Common Stock,BBG000BWM7Q8
AEI,Alset EHome International Inc.,USD,NASDAQ,XNCM,United States,Common Stock,BBG00R71CNN1
AEIS,Advanced Energy Industries Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000FKP386
AEMD,Aethlon Medical Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG000L7B4Z1
AENT,Alliance Entertainment Holding Corporation,USD,NASDAQ,XNCM,United States,Common Stock,BBG00ZR886N8
AENTW,Alliance Entertainment Holding Corporation,USD,NASDAQ,XNAS,United States,Warrant,
AEP,American Electric Power Co Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BB9X46
AERT,"Aeries Technology, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG013ZGVFL7
AERTW,"Aeries Technology, Inc",USD,NASDAQ,XNMS,United States,Common Stock,
AEYE,AudioEye Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG004FJDQ10
AEZS,Aeterna Zentaris Inc.,USD,NASDAQ,XNCM,United States,Common Stock,
AFAR,Aura FAT Projects Acquisition Corp,USD,NASDAQ,XNMS,United States,Common Stock,BBG016B1Y342
AFARU,Aura FAT Projects Acquisition Corp,USD,NASDAQ,XNMS,United States,Unit,BBG0166X6FG9
AFARW,Aura FAT Projects Acquisition Corp,USD,NASDAQ,XNGS,United States,Common Stock,
AFBI,"Affinity Bancshares, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG00XH58WF2
AFCG,"AFC Gamma, Inc.",USD,NASDAQ,XNMS,United States,Common Stock,BBG00YPSX535
AFCGV,"AFC Gamma, Inc. Common Stock Ex-distribution When-Issued",USD,NASDAQ,XNMS,United States,Common Stock,
AFJK,"Aimei Health Technology Co., Ltd Ordinary Share",USD,NASDAQ,XNMS,United States,Common Stock,BBG01KH0P4D5
AFJKR,"Aimei Health Technology Co., Ltd Right",USD,NASDAQ,XNMS,United States,Common Stock,BBG01L3FV8K1
AFJKU,"Aimei Health Technology Co., Ltd",USD,NASDAQ,XNMS,United States,Unit,BBG01GV3KQ57
AFMD,Affimed NV,USD,NASDAQ,XNMS,United States,Common Stock,BBG006R5STM7
AFRI,Forafric Global PLC,USD,NASDAQ,XNCM,United States,Common Stock,BBG017GVG4M7
AFRIW,Forafric Global PLC,USD,NASDAQ,XNMS,United States,Common Stock,
AFRM,"Affirm Holdings, Inc.",USD,NASDAQ,XNGS,United States,Common Stock,BBG00Y7BPBD7
AFYA,Afya Ltd,USD,NASDAQ,XNGS,United States,Common Stock,BBG00PK9C605
AGAE,Allied Gaming & Entertainment Inc.,USD,NASDAQ,XNCM,United States,Common Stock,BBG00J244388
AGBA,Agba Acquisition Ltd,USD,NASDAQ,XNCM,United States,Common Stock,BBG00PPX0TC7
AGBAW,AGBA Group Holding Limited,USD,NASDAQ,XNCM,United States,Common Stock,BBG00PPX1Q87
AGEN,Agenus Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG000C8V450
AGFY,Agrify Corporation,USD,NASDAQ,XNCM,United States,Common Stock,BBG00YN8P0G7
AGGRW,Agile Growth Corp.,USD,NASDAQ,XNMS,United States,Common Stock,
AGIO,Agios Pharmaceuticals Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG004P6MJ59
AGMH,AGM Group Holdings Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG00GQ72GV8
AGMI,Themes Silver Miners ETF,USD,NASDAQ,XNMS,United States,Common Stock,BBG01MQSFLZ9
AGNC,AGNC Investment Corp,USD,NASDAQ,XNGS,United States,REIT,BBG000TJ93C7
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred S",USD,NASDAQ,XNGS,United States,Common Stock,
AGNCM,AGNC Investment Corp,USD,NASDAQ,XNGS,United States,Preferred Stock,
AGNCN,AGNC Investment Corp,USD,NASDAQ,XNGS,United States,Preferred Stock,
AGNCO,AGNC Investment Corp,USD,NASDAQ,XNGS,United States,Preferred Stock,
AGNCP,AGNC Investment Corp,USD,NASDAQ,XNGS,United States,Preferred Stock,
AGRI,"AgriFORCE Growing Systems, Ltd.",USD,NASDAQ,XNCM,United States,Common Stock,BBG00YM41992
AGRIW,AgriFORCE Growing Systems Ltd.,USD,NASDAQ,XNCM,United States,Common Stock,
AGRX,Agile Therapeutics Inc,USD,NASDAQ,XNCM,United States,Common Stock,
AGYS,Agilysys Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BR7GZ6
AHCO,AdaptHealth Corp,USD,NASDAQ,XNCM,United States,Common Stock,BBG00KL71SF7
AHG,599855,USD,NASDAQ,XNCM,United States,Depositary Receipt,BBG00HVQFPY1
AHPA,Avista Public Acquisition Corp. II,USD,NASDAQ,XNCM,United States,Common Stock,
AIB,AIB Acquisition Corporation,USD,NASDAQ,XNMS,United States,Common Stock,
AIBBU,AIB Acquisition Corp,USD,NASDAQ,XNMS,United States,Unit,
AIEV,"Thunder Power Holdings, Inc.",USD,NASDAQ,XNMS,United States,Common Stock,BBG0192Y0519
AIFF,Firefly Neuroscience Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG000BF6NH8
AIHS,Senmiao Technology Ltd,USD,NASDAQ,XNCM,United States,Common Stock,BBG00J3Q2656
AILE,"iLearningEngines Holdings, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG00Z9114Y3
AILEW,Arrowroot Acquisition Corp.,USD,NASDAQ,XNMS,United States,Common Stock,
AIMAU,Aimfinity Investment Corp. I,USD,NASDAQ,XNMS,United States,Common Stock,BBG016D6PJL5
AIMAW,Aimfinity Investment Corp. I,USD,NASDAQ,XNGS,United States,Common Stock,
AIMBU,Aimfinity Investment Corp. I - Subunit,USD,NASDAQ,XNMS,United States,Common Stock,BBG0185KYWP6
AIMD,"Ainos, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG000H6PW18
AIMDW,"Ainos, Inc.",USD,NASDAQ,XNMS,United States,Common Stock,
AIOT,"PowerFleet, Inc.",USD,NASDAQ,XNMS,United States,Common Stock,BBG00PG9L8R7
AIP,"Arteris, Inc.",USD,NASDAQ,XNMS,United States,Common Stock,BBG0132PN516
AIPI,REX AI Equity Premium Income ETF,USD,NASDAQ,XNMS,United States,Common Stock,BBG01N48YNK6
AIRE,reAlpha Tech Corp.,USD,NASDAQ,XNCM,United States,Common Stock,BBG01GHN7TG6
AIRG,Airgain Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG00DBPMZB9
AIRJ,Power & Digital Infrastructure Acquisition II Corp.,USD,NASDAQ,XNCM,United States,Common Stock,BBG014FPNGX1
AIRJW,Montana Technologies LLC,USD,NASDAQ,XNMS,United States,Common Stock,
AIRS,"AirSculpt Technologies, Inc.",USD,NASDAQ,XNMS,United States,Common Stock,BBG012V27C83
AIRT,Air T Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG000BBH8W1
AIRTP,Air T Funding,USD,NASDAQ,XNMS,United States,Preferred Stock,
AISP,"Airship AI Holdings, Inc",USD,NASDAQ,XNMS,United States,Common Stock,BBG010VN2MR3
AISPW,"Airship AI Holdings, Inc.",USD,NASDAQ,XNMS,United States,Common Stock,
AITR,AI TRANSPORTATION ACQUISITION CORP,USD,NASDAQ,XNCM,United States,Common Stock,BBG01KBDN356
AITRR,AI Transportation Acquisition Corp,USD,NASDAQ,XNCM,United States,Common Stock,BBG01KTW9WM8
AITRU,AI TRANSPORTATION ACQUISITION CORP,USD,NASDAQ,XNCM,United States,Unit,BBG01FVMLVS0
AIXI,XIAO-I Corporation - American Depositary Shares,USD,NASDAQ,XNMS,United States,Depositary Receipt,BBG01FS0N6C2
AKAM,Akamai Technologies Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BJR6K0
AKAN,Akanda Corp.,USD,NASDAQ,XNCM,United States,Common Stock,BBG0150KCKG7
AKBA,Akebia Therapeutics Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG0060CP2W2
AKRO,Akero Therapeutics Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG00PDMC2J3
AKTS,Akoustis Technologies Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG005WX3HD5
AKTX,Akari Therapeutics PLC,USD,NASDAQ,XNCM,United States,Depositary Receipt,BBG003PMV4N9
AKYA,"Akoya Biosciences, Inc.",USD,NASDAQ,XNGS,United States,Common Stock,BBG00ZV1MVM8
ALAB,"Astera Labs, Inc.",USD,NASDAQ,XNGS,United States,Common Stock,BBG01LWWRWV2
ALAR,Alarum Technologies Ltd.,USD,NASDAQ,XNCM,United States,Common Stock,BBG00GVM3KY6
ALBT,Avalon GloboCare Corp.,USD,NASDAQ,XNCM,United States,Common Stock,BBG008648PF7
ALCE,"Alternus Clean Energy, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG013NTTHR5
ALCO,Alico Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BBK0L6
ALCY,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares,USD,NASDAQ,XNMS,United States,Common Stock,BBG01GM8TZY5
ALCYU,Alchemy Investments Acquisition Corp 1 - Units,USD,NASDAQ,XNMS,United States,Unit,BBG01BW37LC5
ALCYW,Alchemy Investments Acquisition Corp 1 - Warrants,USD,NASDAQ,XNGS,United States,Warrant,
ALDX,Aldeyra Therapeutics Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG005T0RK75
ALEC,Alector Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG00N0PL1V3
ALFUU,Centurion Acquisition Corp. Unit,USD,NASDAQ,XNMS,United States,Common Stock,BBG01N0VFH23
ALFUW,Centurion Acquisition Corp. Warrant,USD,NASDAQ,XNMS,United States,Common Stock,BBG01P22XM29
ALGM,Allegro MicroSystems Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG00XZQGZZ8
ALGN,Align Technology Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BRNWJ1
ALGS,Aligos Therapeutics Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG00XMLX394
ALGT,Allegiant Travel Co,USD,NASDAQ,XNGS,United States,Common Stock,BBG000LJTKK6
ALHC,"Alignment Healthcare, Inc.",USD,NASDAQ,XNGS,United States,Common Stock,BBG00ZJ0DTL0
ALIM,Alimera Sciences Inc,USD,NASDAQ,XNMS,United States,Common Stock,BBG000QLS405
ALKS,Alkermes PLC,USD,NASDAQ,XNGS,United States,Common Stock,BBG000C9GDZ2
ALKT,"Alkami Technology, Inc.",USD,NASDAQ,XNGS,United States,Common Stock,BBG00ZLJQND4
ALLK,Allakos Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG00L91YX01
ALLO,Allogene Therapeutics Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG00M0C8VW2
ALLR,"Allarity Therapeutics, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG012NY0X29
ALLT,Allot Ltd,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BKXXY6
ALMS,Alumis Inc.,USD,NASDAQ,XNGS,United States,Common Stock,BBG01N8B5036
ALNT,Allient Inc,USD,NASDAQ,XNMS,United States,Common Stock,BBG000BKW1S4
ALNY,Alnylam Pharmaceuticals Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BFGYR2
ALOT,AstroNova Inc,USD,NASDAQ,XNMS,United States,Common Stock,BBG000BBMHP3
ALPP,Alpine 4 Technologies Ltd.,USD,NASDAQ,XNCM,United States,Common Stock,BBG00FJD8PL0
ALRM,Alarm.com Holdings Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG0099LP113
ALRN,Aileron Therapeutics Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG00GZT7V06
ALRS,Alerus Financial Corp,USD,NASDAQ,XNCM,United States,Common Stock,BBG000BTXY57
ALSA,Alpha Star Acquisition Corporation,USD,NASDAQ,XNMS,United States,Common Stock,BBG014KF1DH6
ALSAR,Alpha Star Acquisition Corporation,USD,NASDAQ,XNMS,United States,Common Stock,BBG014KDN7G1
ALSAU,Alpha Star Acquisition Corporation,USD,NASDAQ,XNMS,United States,Unit,BBG011MPQLR2
ALSAW,Alpha Star Acquisition Corporation,USD,NASDAQ,XNMS,United States,Common Stock,BBG011P53BB7
ALT,Altimmune Inc,USD,NASDAQ,XNMS,United States,Common Stock,BBG000FXNRP8
ALTI,Cartesian Growth Corporation,USD,NASDAQ,XNCM,United States,Common Stock,BBG00Z6F0M21
ALTO,"Alto Ingredients, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG000K4Y2S6
ALTR,Altair Engineering Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG00HVQCJ50
ALVO,Alvotech,USD,NASDAQ,XNMS,United States,Common Stock,BBG017ZKJK14
ALVOW,Alvotech,USD,NASDAQ,XNMS,United States,Common Stock,BBG0186DQFF8
ALVR,"AlloVir, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG00VXD2860
ALXO,ALX Oncology Holdings Inc.,USD,NASDAQ,XNGS,United States,Common Stock,BBG00VR8SF00
ALZN,"Alzamend Neuro, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG0116ZTYW1
AMAL,Amalgamated Bank,USD,NASDAQ,XNMS,United States,Common Stock,BBG00XRT8DS7
AMAT,Applied Materials Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BBPST2
AMBA,Ambarella Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG001QZCQ46
AMCI,AMCI Acquisition Corp,USD,NASDAQ,XNCM,United States,Common Stock,
AMCX,AMC Networks Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG001QVLM62
AMD,Advanced Micro Devices Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BBQPP1
AMED,Amedisys Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BB05W5
AMEH,Apollo Medical Holdings Inc,USD,NASDAQ,XNCM,United States,Common Stock,
AMGN,Amgen Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BBSCX9
AMIX,"Autonomix Medical, Inc. Common Stock",USD,NASDAQ,XNCM,United States,Common Stock,BBG01L7T3DN4
AMKR,Amkor Technology Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BCKT40
AMLI,AMERICAN LITHIUM CORP,USD,NASDAQ,XNCM,United States,Common Stock,BBG000QVJ6Y1
AMLX,"Amylyx Pharmaceuticals, Inc.",USD,NASDAQ,XNGS,United States,Common Stock,BBG014DBVXN9
AMOT,"Allied Motion Technologies, Inc.",USD,NASDAQ,XNMS,United States,Common Stock,
AMPG,Amplitech Group Inc.,USD,NASDAQ,XNCM,United States,Common Stock,BBG00394F9J9
AMPGW,"AmpliTech Group, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG00Z9BGRQ3
AMPH,Amphastar Pharmaceuticals Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG006JMQVQ2
AMPL,"Amplitude, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG012G3RQ30
AMRK,A-Mark Precious Metals Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG005ZVDKR3
AMRN,Amarin Corp PLC,USD,NASDAQ,XNMS,United States,Depositary Receipt,BBG000BPYJS2
AMRX,Amneal Pharmaceuticals Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG00JPC9F38
AMSC,American Superconductor Corp,USD,NASDAQ,XNGS,United States,Common Stock,BBG000CP4TM8
AMSF,AMERISAFE Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000Q0JWB7
AMST,Amesite Operating Co,USD,NASDAQ,XNCM,United States,Common Stock,BBG00LFWMCT4
AMSWA,American Software Inc-GA,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BBWPX5
AMTX,Aemetis Inc,USD,NASDAQ,XNMS,United States,Common Stock,BBG000BWC2K6
AMWD,American Woodmark Corp,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BBXGX4
AMYT,Amryt Pharma plc,USD,NASDAQ,XNGS,United States,Common Stock,
AMZN,Amazon.com Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BVQ4Z3
ANAB,AnaptysBio Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG009ZHBP97
ANDE,Andersons Inc-The,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BF8NS4
ANEB,"Anebulo Pharmaceuticals, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG00ZWY5GR2
ANGH,Anghami Inc.,USD,NASDAQ,XNMS,United States,Common Stock,BBG013WZYVW8
ANGHW,Anghami Inc.,USD,NASDAQ,XNMS,United States,Common Stock,
ANGI,ANGI Homeservices Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG00HVKH479
ANGO,AngioDynamics Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BB5J41
ANIK,Anika Therapeutics Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BBL8D7
